62:AOR:*(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:2.0 * FastMath.sqrt(30.0) |==> 2.0 - FastMath.sqrt(30.0)
63:AOR:*(double,double):/(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:2.0 * FastMath.sqrt(30.0) |==> 2.0 / FastMath.sqrt(30.0)
64:AOR:+(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:15.0 + 2.0 * FastMath.sqrt(30.0) |==> 15.0 % (2.0 * FastMath.sqrt(30.0))
65:AOR:+(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:15.0 + 2.0 * FastMath.sqrt(30.0) |==> 15.0 * (2.0 * FastMath.sqrt(30.0))
66:AOR:+(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:15.0 + 2.0 * FastMath.sqrt(30.0) |==> 15.0 - 2.0 * FastMath.sqrt(30.0)
67:AOR:+(double,double):/(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:15.0 + 2.0 * FastMath.sqrt(30.0) |==> 15.0 / (2.0 * FastMath.sqrt(30.0))
68:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:35.0 |==> 0.0
69:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:35.0 |==> -35.0
70:AOR:/(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:(15.0 + 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 + 2.0 * FastMath.sqrt(30.0)) % 35.0
71:AOR:/(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:(15.0 + 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 + 2.0 * FastMath.sqrt(30.0)) * 35.0
72:AOR:/(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:(15.0 + 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 + 2.0 * FastMath.sqrt(30.0)) + 35.0
73:AOR:/(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:(15.0 + 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 + 2.0 * FastMath.sqrt(30.0)) - 35.0
74:ORU:-(double):+(double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:-FastMath.sqrt((15.0 - 2.0 * FastMath.sqrt(30.0)) / 35.0) |==> +FastMath.sqrt((15.0 - 2.0 * FastMath.sqrt(30.0)) / 35.0)
75:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:15.0 |==> 0.0
76:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:15.0 |==> -15.0
77:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:2.0 |==> 0.0
